image,true,pred
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/clean_street/clean_street_214.jpg,0,4
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/construction_waste/construction_waste_122.jpg,2,1
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/construction_waste/construction_waste_113.jpg,2,3
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/construction_waste/construction_waste_018.jpg,2,1
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/construction_waste/construction_waste_285.jpg,2,3
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/construction_waste/construction_waste_108.jpg,2,1
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/construction_waste/construction_waste_016.jpg,2,4
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/dumpyard/dumpyard_013.jpg,3,1
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/dumpyard/dumpyard_024.jpg,3,1
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/dumpyard/dumpyard_035.jpg,3,2
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/dumpyard/dumpyard_007.jpg,3,1
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/open_waste/open_waste_249.jpg,1,3
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/open_waste/open_waste_314.jpg,1,4
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/open_waste/open_waste_005.jpg,1,3
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/open_waste/open_waste_295.jpg,1,3
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/open_waste/open_waste_086.jpg,1,0
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/open_waste/open_waste_109.jpg,1,2
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/open_waste/open_waste_237.jpg,1,3
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/overfilled_bins/overfilled_bins_040.jpg,4,1
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/overfilled_bins/overfilled_bins_049.jpg,4,2
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/overfilled_bins/overfilled_bins_258.jpg,4,1
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/overfilled_bins/overfilled_bins_108.jpg,4,1
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/overfilled_bins/overfilled_bins_336.jpg,4,0
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/overfilled_bins/overfilled_bins_287.jpg,4,2
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/overfilled_bins/overfilled_bins_111.jpg,4,1
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/overfilled_bins/overfilled_bins_141.jpg,4,1
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/overfilled_bins/overfilled_bins_002.jpg,4,2
