image,true,pred
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/construction_waste/construction_waste_112.jpg,2,3
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/construction_waste/construction_waste_122.jpg,2,1
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/construction_waste/construction_waste_113.jpg,2,1
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/construction_waste/construction_waste_018.jpg,2,1
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/construction_waste/construction_waste_278.jpg,2,4
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/construction_waste/construction_waste_016.jpg,2,0
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/dumpyard/dumpyard_024.jpg,3,1
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/dumpyard/dumpyard_007.jpg,3,1
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/dumpyard/dumpyard_100.jpg,3,1
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/open_waste/open_waste_270.jpg,1,3
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/open_waste/open_waste_249.jpg,1,3
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/open_waste/open_waste_025.jpg,1,2
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/open_waste/open_waste_322.jpg,1,4
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/open_waste/open_waste_014.jpg,1,4
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/open_waste/open_waste_314.jpg,1,4
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/open_waste/open_waste_005.jpg,1,3
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/open_waste/open_waste_295.jpg,1,3
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/open_waste/open_waste_086.jpg,1,0
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/open_waste/open_waste_237.jpg,1,3
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/overfilled_bins/overfilled_bins_040.jpg,4,1
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/overfilled_bins/overfilled_bins_258.jpg,4,1
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/overfilled_bins/overfilled_bins_341.jpg,4,1
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/overfilled_bins/overfilled_bins_111.jpg,4,1
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/overfilled_bins/overfilled_bins_002.jpg,4,2
