image,true,pred
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/construction_waste/construction_waste_066.jpg,2,1
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/construction_waste/construction_waste_113.jpg,2,1
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/construction_waste/construction_waste_018.jpg,2,1
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/construction_waste/construction_waste_108.jpg,2,1
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/construction_waste/construction_waste_016.jpg,2,0
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/dumpyard/dumpyard_265.jpg,3,1
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/dumpyard/dumpyard_013.jpg,3,1
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/dumpyard/dumpyard_006.jpg,3,1
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/dumpyard/dumpyard_024.jpg,3,1
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/dumpyard/dumpyard_035.jpg,3,2
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/dumpyard/dumpyard_359.jpg,3,1
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/dumpyard/dumpyard_053.jpg,3,2
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/dumpyard/dumpyard_007.jpg,3,1
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/dumpyard/dumpyard_100.jpg,3,1
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/dumpyard/dumpyard_179.jpg,3,1
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/open_waste/open_waste_249.jpg,1,3
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/open_waste/open_waste_071.jpg,1,2
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/open_waste/open_waste_180.jpg,1,0
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/open_waste/open_waste_314.jpg,1,4
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/open_waste/open_waste_234.jpg,1,4
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/open_waste/open_waste_086.jpg,1,0
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/open_waste/open_waste_013.jpg,1,0
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/overfilled_bins/overfilled_bins_110.jpg,4,1
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/overfilled_bins/overfilled_bins_040.jpg,4,1
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/overfilled_bins/overfilled_bins_258.jpg,4,1
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/overfilled_bins/overfilled_bins_108.jpg,4,1
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/overfilled_bins/overfilled_bins_336.jpg,4,0
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/overfilled_bins/overfilled_bins_287.jpg,4,2
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/overfilled_bins/overfilled_bins_341.jpg,4,1
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/overfilled_bins/overfilled_bins_111.jpg,4,1
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/overfilled_bins/overfilled_bins_170.jpg,4,1
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/overfilled_bins/overfilled_bins_141.jpg,4,1
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/overfilled_bins/overfilled_bins_002.jpg,4,2
