image,true,pred
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/clean_street/clean_street_247.jpg,0,1
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/clean_street/clean_street_095.jpg,0,1
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/clean_street/clean_street_223.jpg,0,4
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/clean_street/clean_street_097.jpg,0,4
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/clean_street/clean_street_335.jpg,0,2
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/construction_waste/construction_waste_079.jpg,2,0
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/construction_waste/construction_waste_138.jpg,2,1
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/construction_waste/construction_waste_113.jpg,2,1
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/construction_waste/construction_waste_018.jpg,2,1
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/construction_waste/construction_waste_073.jpg,2,1
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/construction_waste/construction_waste_285.jpg,2,0
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/construction_waste/construction_waste_083.jpg,2,1
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/construction_waste/construction_waste_074.jpg,2,0
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/construction_waste/construction_waste_278.jpg,2,1
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/construction_waste/construction_waste_016.jpg,2,0
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/construction_waste/construction_waste_371.jpg,2,0
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/dumpyard/dumpyard_265.jpg,3,1
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/dumpyard/dumpyard_013.jpg,3,1
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/dumpyard/dumpyard_394.jpg,3,1
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/dumpyard/dumpyard_209.jpg,3,1
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/dumpyard/dumpyard_086.jpg,3,1
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/dumpyard/dumpyard_006.jpg,3,1
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/dumpyard/dumpyard_320.jpg,3,1
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/dumpyard/dumpyard_024.jpg,3,1
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/dumpyard/dumpyard_383.jpg,3,1
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/dumpyard/dumpyard_331.jpg,3,1
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/dumpyard/dumpyard_299.jpg,3,1
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/dumpyard/dumpyard_321.jpg,3,1
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/dumpyard/dumpyard_035.jpg,3,1
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/dumpyard/dumpyard_161.jpg,3,1
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/dumpyard/dumpyard_020.jpg,3,1
/content/myproject/DLCV/IndiUrbanClean-Dataset/images/dumpyard/dumpyard_027.jpg,3,0
